SubjectID|cluster
533|0
649|2
1234|0
2492|2
2956|2
3085|2
3551|2
3971|2
4390|2
4752|0
4772|0
5155|2
5588|0
5936|2
7399|2
7750|2
7799|0
7824|2
8077|2
8150|0
8471|0
8480|2
9469|2
9641|0
10244|2
10956|0
11041|0
13105|0
13165|2
14465|0
14836|2
14840|0
14962|0
15154|2
15414|2
15472|2
15511|2
16375|0
16483|0
16497|0
16727|2
16782|0
17603|0
17703|2
17756|2
17864|2
17959|2
18216|0
18304|0
18424|0
19246|2
19764|2
19871|0
20417|2
20912|2
21518|2
22671|2
23479|2
24198|0
24428|0
24755|0
25028|2
25280|0
25941|2
26114|2
26556|2
27463|2
27516|2
27577|2
27702|2
27928|2
28045|2
28386|0
28515|2
29103|0
29253|2
29710|0
29915|2
30008|0
30618|0
31318|2
31375|0
31916|2
32723|0
32933|2
33311|2
33726|0
34152|2
34400|0
34666|2
34678|2
35295|0
35593|2
35640|0
36997|2
37171|0
38444|0
38510|0
38617|0
38898|2
38943|2
38991|2
39510|0
40023|2
40874|2
41662|2
41878|0
42233|2
42392|2
43427|2
45164|0
45398|0
45555|0
46949|2
47340|0
47677|2
48123|2
48317|0
48397|0
49084|0
49322|0
50297|0
50500|0
50668|0
50891|0
51481|2
52024|2
52239|0
52381|0
52416|2
52496|2
52586|0
52705|2
53301|2
53959|0
54044|2
54232|2
54364|2
54764|2
55245|0
55600|2
55636|0
55651|2
56109|2
56172|2
56741|2
56751|2
57438|2
57578|2
57988|0
58242|2
59160|2
59268|2
59942|2
60008|0
60104|0
60883|2
60885|2
61024|2
61916|2
62544|0
62767|2
62891|2
63021|2
63106|0
64724|2
65291|2
65468|0
65724|0
65845|0
66166|2
66700|2
67139|2
67865|0
68000|2
68343|2
68390|0
68823|0
69244|2
70157|2
70436|2
70833|2
70914|2
71211|2
71698|2
72214|2
72244|0
72319|2
72493|0
72818|0
72887|0
73178|0
73301|2
74899|2
75990|2
76092|2
76640|2
76650|2
77402|0
78224|2
78306|0
79206|2
79845|0
80279|2
80580|2
81142|0
81428|2
82520|2
83244|0
83720|2
83822|2
83883|0
84427|2
85122|0
85415|0
85731|2
86034|2
86242|2
86901|0
86928|2
86997|2
87664|0
89315|2
